Title,Year,Franchise,,,https://en.wikipedia.org/wiki/List_of_films_featuring_extraterrestrials
Daleks' Invasion Earth 2150 A.D.,1966,Doctor Who[93],,,
Dark City,1998,[33],,,
The Dark Crystal,1982,[94],,,
Dark Skies,2013,[36],,,
Dark Star,1974,[95],,,
Dark Universe,1993,[96],,,
Darkening Sky,2010,[97],,,
The Darkest Hour,2011,[98],,,
The Day the Earth Stood Still,1951,[72],,,
The Day the Earth Stood Still,2008,The Day the Earth Stood Still[99],,,
The Day the Earth Stopped,2008,[100],,,
The Day Mars Invaded Earth,1963,[101],,,
The Day of the Triffids,1962,[9],,,
The Day the World Ended,2001,,,,
The Deadly Spawn,1983,[102],,,
Deadpool 2,2018,Marvel - X-Men [103],,,
The Death of Superman,2018,DC Animated Movie Universe,,,
Decoys,2004,Decoys [104],,,
Decoys 2: Alien Seduction,2007,Decoys [105],,,
Destroy All Monsters,1968,Godzilla[106],,,
Devil Girl from Mars,1954,[107],,,
District 9,2009,[50],,,
Doctor Strange,2016,Marvel Cinematic Universe[108],,,
Doctor Who,1996,Doctor Who [109],,,
Don't Look Up,2021,[110],,,
Doom,2005,[111],,,
Dr. Alien,1989,[112],,,
Dr. Who and the Daleks,1965,Doctor Who[113],,,
Dreamcatcher,2003,[10],,,
Dragonball Evolution,2009,[114],,,
"Dude, Where's My Car?",2000,[115],,,
Dune,1984,Dune[10],,,
Dune,2021,Dune[10],,,
E.T. the Extra-Terrestrial,1982,[72],,,
Earth Girls Are Easy,1988,[10],,,
Earth to Echo,2014,[57],,,
Earth vs. the Flying Saucers,1956,[50],,,
Edge of Tomorrow,2014,[50],,,
Ender's Game,2013,[116],,,
Enemy Mine,1985,[33],,,
Escape from Planet Earth,2013,,,,
Escape to Witch Mountain,1975,Escape to Witch Mountain[117],,,
Escape to Witch Mountain (TV),1995,Escape to Witch Mountain[118],,,
Eternals,2021,[119][120],,,
Europa Report,2013,[29],,,
Evangelion: 1.0 You Are (Not) Alone,2007,Neon Genesis Evangelion [121],,,
Evangelion: 2.0 You Can (Not) Advance,2009,Neon Genesis Evangelion [122],,,
Evangelion: 3.0 You Can (Not) Redo,2012,Neon Genesis Evangelion [123],,,
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,Neon Genesis Evangelion [124],,,
Evolution,2001,[125],,,
Ewoks: The Battle for Endor (TV),1985,Star Wars[126],,,
Excursion to the Moon,1908,[127],,,
Explorers,1985,[128],,,
Extinction,2018,[129],,,
Extraterrestrial,2011,[130],,,
Extraterrestrial,2014,[36],,,
The Eye Creatures,1965,[131],,,
The Faculty,1998,[33],,,
Fantastic Four: Rise of the Silver Surfer,2007,Marvel - Fantastic Four[132],,,
Fantastic Planet,1973,[95],,,
Feeders,1996,[32],,,
The Fifth Element,1997,[29],,,
Fire in the Sky,1993,[133],,,
Fire Maidens from Outer Space,1956,[134],,,
First Men in the Moon,1964,The First Men in the Moon[135],,,
First Spaceship on Venus,1962,[136],,,
Flash Gordon (serial),1936,Flash Gordon[137],,,
Flash Gordon,1980,Flash Gordon[10],,,
Flash Gordon Conquers the Universe (serial),1940,Flash Gordon[138],,,
Flash Gordon's Trip to Mars (serial),1938,Flash Gordon,,,
Flesh Gordon,1974,Flesh Gordon[9],,,
Flesh Gordon Meets the Cosmic Cheerleaders,1989,Flesh Gordon[139],,,
Flight of the Navigator,1986,[9],,,
Flight to Mars,1950,[140],,,
The Flintstones in Viva Rock Vegas,2000,The Flintstones[141],,,
Flying Disc Man from Mars (serial),1950,[142],,,
Flying Saucer Rock'n'Roll,1997,[143],,,
Forbidden Planet,1956,[95],,,
Forbidden World,1982,[144],,,
The Forgotten,2004,[145],,,
The Fourth Kind,2009,[36],,,
Frankenstein Island,1981,Frankenstein[32],,,
Frankenstein Meets the Space Monster,1965,Frankenstein[146],,,
Freaks of Nature,2015,[147],,,
Futurama: The Beast with a Billion Backs (TV),2008,Futurama[148],,,
Futurama: Bender's Big Score (TV),2007,Futurama[149],,,
Galaxy Invader,1985,[150],,,
Galaxy of Terror,1981,[9],,,
Galaxy Quest,1999,[29],,,
Gamera: Super Monster,1980,Gamera[151],,,
Gamera vs. Viras,1968,Gamera[152],,,
Gamera vs. Zigra,1971,Gamera[153],,,
The Gendarme and the Extra-Terrestrials,1979,Le gendarme series,,,
"Ghidorah, the Three-Headed Monster",1964,Godzilla[154],,,
Ghosts of Mars,2001,[155],,,
The Giant Spider Invasion,1975,[156],,,
God Told Me To,1976,[157],,,
Godzilla 2000,1999,Godzilla[158],,,
Godzilla: City on the Edge of Battle,2018,Godzilla,,,
Godzilla: Final Wars,2004,Godzilla[159],,,
Godzilla: King of the Monsters,2019,Godzilla[160][161],,,
Godzilla: The Planet Eater,2018,Godzilla,,,
Godzilla: Planet of the Monsters,2017,Godzilla,,,
Godzilla vs. Destoroyah,1995,Godzilla,,,
Godzilla vs. Gigan,1972,Godzilla[162],,,
Godzilla vs. Hedorah,1971,Godzilla,,,
Godzilla vs. Mechagodzilla,1974,Godzilla[163],,,
Godzilla vs. SpaceGodzilla,1994,Godzilla[164],,,
"Goke, Body Snatcher from Hell",1968,One-shot[165],,,
Good Boy!,2003,[166],,,
Grabbers,2012,[167],,,
Green Lantern,2011,DC - Green Lantern[168],,,
Green Lantern: First Flight,2014,DC - Green Lantern,,,
The Green Slime,1968,[169],,,
Guardians of the Galaxy,2014,Marvel Cinematic Universe[29],,,
Guardians of the Galaxy Vol. 2,2017,Marvel Cinematic Universe[170],,,
Guardians of the Galaxy Vol. 3,2023,Marvel Cinematic Universe[171][172],,,
H.G. Wells' The War of the Worlds,2005,The War of the Worlds[173],,,
H.G. Wells' War of the Worlds,2005,The War of the Worlds[174],,,
Hangar 18,1980,[175],,,
HappinessCharge PreCure! the Movie: The Ballerina of the Land of Dolls,2014,Pretty Cure,,,
Hardware Wars,1978,[176],,,
"Have Rocket, Will Travel",1959,The Three Stooges[177],,,
Heavy Metal,1981,Heavy Metal[178],,,
Heavy Metal 2000,2000,Heavy Metal[179],,,
The Hidden,1987,Hidden[180],,,
The Hidden II,1993,Hidden [181]Hidden 2015,,,
High Plains Invaders (TV),2009,[182],,,
Highlander II: The Quickening,1991,Highlander[183],,,
The Hitchhiker's Guide to the Galaxy,2005,[10],,,
Hobgoblins,1988,[184],,,
Home,2015,[3],,,
Honeymoon,2014,[36],,,
Horror Express,1972,[185],,,
The Host,2013,[186],,,
How to Talk to Girls at Parties,2018,[187],,,
Howard the Duck,1986,Marvel - Howard [9],,,
I Am Number Four,2011,[188],,,
I Come in Peace,1990,[189],,,
I Married a Monster from Outer Space,1958,[1],,,
I Was a Zombie for the F.B.I.,1982,[190],,,
Illegal Aliens,2007,[191],,,
Impostor,2002,[33],,,
Independence Day,1996,Independence Day[50],,,
Independence Day: Resurgence,2016,Independence Day[192],,,
Indiana Jones and the Kingdom of the Crystal Skull,2008,Indiana Jones[9],,,
Infected (TV),2008,[193],,,
Inseminoid,1981,[194],,,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,[195],,,
Invader Zim: Enter the Florpus,2019,Invader Zim,,,
Invaders from Mars,1953,Invaders from Mars[50],,,
Invaders from Mars,1986,Invaders from Mars[196],,,
Invasion,1966,[197],,,
The Invasion,2007,Body Snatchers[33],,,
Invasion from Inner Earth,1974,[32],,,
Invasion of Astro-Monster,1965,Godzilla[198],,,
Invasion of the Body Snatchers,1956,Body Snatchers[50],,,
Invasion of the Body Snatchers,1978,[50],,,
Invasion of the Neptune Men,1961,[32],,,
Invasion of the Saucer Men,1957,[191],,,
Invasion of the Star Creatures,1962,[199],,,
Invisible Invaders,1959,[200],,,
The Iron Giant,1999,[72],,,
Iron Invader,2011,[201],,,
It Came from Outer Space,1953,[202],,,
It: Chapter One,2017,IT[203],,,
It Chapter Two,2019,IT,,,
It Conquered the World,1956,[204],,,
It! The Terror from Beyond Space,1958,[205],,,
Jetsons: The Movie,1990,Jetsons[206],,,
Jimmy Neutron: Boy Genius,2001,Jimmy Neutron[207],,,
Jiu Jitsu,2020,[208],,,
John Carter,2012,Barsoom[3],,,
Joker,2012,[209],,,
Journey to the Seventh Planet,1962,[210],,,
Jules,2023,,,,
Jupiter Ascending,2015,[211],,,
Just Imagine,1930,,,,
Justice League,2017,DC Extended Universe[212],,,
Justice League: Crisis on Two Earths,2010,DC,,,
Justice League Dark,2017,DC Animated Movie Universe,,,
Justice League Dark: Apokolips War,2020,DC Animated Movie Universe,,,
Justice League: Doom,2012,DC,,,
Justice League: The Flashpoint Paradox,2011,DC Animated Movie Universe,,,
Justice League: The New Frontier,2008,DC,,,
Justice League: Throne of Atlantis,2011,DC Animated Movie Universe,,,
Justice League vs. the Fatal Five,2019,DC,,,
Justice League: War,2014,DC Animated Movie Universe,,,
Kalai Arasi,1963,,,,
Killer Klowns from Outer Space,1988,[10],,,
Killers from Space,1954,[213],,,
Kin-dza-dza!,1986,[214],,,
Knowing,2009,[215],,,
Koi... Mil Gaya,2003,Krrish[216],,,
Kronos,1957,[1],,,
Krrish,2006,Krrish[217],,,
Krrish 3,2013,Krrish[218],,,
Krull,1983,[219],,,
The Last Starfighter,1984,[10],,,
Leroy & Stitch,2006,Lilo & Stitch[220],,,
Life,2017,[221],,,
Lifeforce,1985,[202],,,
Lifted,2006,[222],,,
Lightyear,2022,Toy Story[223][224],,,
Lilo & Stitch,2002,Lilo & Stitch[57],,,
Lilo & Stitch 2: Stitch Has a Glitch,2005,Lilo & Stitch[225],,,
Liquid Sky,1982,[226],,,
Little Shop of Horrors,1986,Little Shop of Horrors[72],,,
Looney Tunes: Back in Action,2003,Looney Tunes [227],,,
Lost in Space,1998,Lost in Space[228],,,
The Lost Skeleton of Cadavra,2001,[229],,,
The Love War (TV),1970,,,,
Mac and Me,1988,McDonalds[95],,,
The Man from Planet X,1951,[230],,,
Man of Steel,2013,DC Extended Universe[231],,,
The Man Who Fell to Earth,1976,[72],,,
The Man Who Wasn't There,2001,[232],,,
Mars Attacks!,1996,[50],,,
Mars Needs Moms,2011,[233],,,
Mars Needs Women (TV),1967,[234],,,
Martians Go Home,1990,[235],,,
Max Steel,2016,Max Steel[236],,,
Meatball Machine,2005,[237],,,
Meatballs Part II,1984,Meatballs[238],,,
Meet Dave,2008,[239],,,
Megamind,2010,[57],,,
Men in Black,1997,Men in Black[10],,,
Men in Black II,2002,Men in Black[240],,,
Men in Black 3,2012,Men in Black[241],,,
Men in Black: International,2019,Men in Black,,,
A Message from Mars,1913,,,,
Metamorphosis: The Alien Factor,1990,[242],,,
Mighty Morphin Power Rangers: The Movie,1995,Power Rangers[243],,,
The Miracle of P. Tinto,1998,[244],,,
Missile to the Moon,1958,[245],,,
Mission to Mars,2000,[246],,,
Mom and Dad Save the World,1992,[247],,,
Monster X Strikes Back: Attack the G8 Summit,2008,[248],,,
Monsters,2010,Monsters[33],,,
Monsters: Dark Continent,2014,Monsters[249],,,
Monsters vs. Aliens,2009,[250],,,
Los Monstruos del Terror,1970,Waldemar Daninsky series[251],,,
Monty Python's Life of Brian,1979,Monty Python[252],,,
Moonfall,2022,,,,
Morons from Outer Space,1985,[253],,,
Münchhausen,1943,Baron Munchausen,,,
Muppets from Space,1999,Muppets[254],,,
Mutant Swinger from Mars,2009,[255],,,
My Favorite Martian,1999,[256],,,
My Stepmother Is an Alien,1988,[257],,,
The Mysterians,1957,Godzilla[258],,,
New Mutants,2020,Marvel - X-Men [259][260],,,
Night Caller from Outer Space,1966,[261],,,
Night of the Blood Beast,1958,[204],,,
Night of the Creeps,1986,[262],,,
Night Skies,2007,[263],,,
Nightbeast,1982,[264],,,
Nope,2022,,,,
Not of This Earth,1957,Not of This Earth[265],,,
Not of This Earth,1988,Not of This Earth[266],,,
Nowhere,1997,[267],,,
Nude on the Moon,1961,[268],,,
Nukie,1987,[32],,,
Oblivion,1994,,,,
Oblivion,2013,[1],,,
Occupation,2018,,,,
Ōgon Bat,1966,[269],,,
Outlander,2008,Beowulf[270],,,
Pacific Rim,2013,Pacific Rim[72],,,
Pacific Rim Uprising,2018,Pacific Rim[72],,,
Pajama Party,1964,Beach Party[271],,,
Pandorum,2009,[272],,,
Parasyte: Part 1,2014,Parasyte(part 1 of 2)[273],,,
Parasyte: Part 2,2015,Parasyte(part 2 of 2)[274],,,
Paul,2011,[10],,,
Pee-wee's Big Holiday,2016,Pee-wee[275],,,
PG: Psycho Goreman,2020,[276][277],,,
Phantom from Space,1953,[278],,,
Phineas and Ferb the Movie: Candace Against the Universe,2020,Phineas and Ferb,,,
Phoenix Forgotten,2017,[279],,,
The Phoenix Incident,2015,,,,
Pinocchio in Outer Space,1965,[280],,,
Pitch Black,2000,The Chronicles of Riddick[65],,,
Pixels,2015,Pac-Man[281],,,
Plan 9 from Outer Space,1959,[10],,,
Plan 10 from Outer Space,1994,[282],,,
Planet 51,2009,[283],,,
Planet of the Apes,2001,Planet of the Apes,,,
Planet of the Vampires,1965,[284],,,
Planeta Bur,1962,[285],,,
The Pod People,1983,[238],,,
Power Rangers,2017,Power Rangers[286],,,
Predator,1987,Predator[10],,,
The Predator,2018,Predator,,,
Predator 2,1990,Predator[95],,,
Predators,2010,Predator[95],,,
Prey,2022,Predator,,,
Princess of Mars,2009,Barsoom[287],,,
Progeny,1999,[36],,,
Project ALF,1996,ALF[288],,,
Prometheus,2012,Alien[3],,,
Proximity,2020,,,,
The Puppet Masters,1994,[289],,,
The Purple Monster Strikes (serial),1945,,,,
